Name,AI custom autofill,AI summary,Approval Pathway,Country,Country1,Date,Document Created,Document Updated,Entrepreneurial Founder,Founding Shock,Individuals,Predecessor,Published,Region,Related to UK WWII (Column),Source,Successor,Tags,URL,Unit Created,Unit Dissolved
Servicing Commando Units (RAF),,"Servicing Commando Units (SCU) were formed in the UK on January 31, 1942, to provide support at forward or captured enemy airfields. They were highly skilled technicians who performed aircraft servicing, rearming, and refueling, and defended these airfields until Army units arrived. SCUs operated in various locations, including North Africa, Italy, France, and the Far East, and were disbanded in 1946.",,UK,"ENG, GB, UK",,"March 4, 2019 8:56 PM","April 10, 2024 3:50 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/ServicingCommandosRAF,"January 31, 1942",
Combined Operations,"Key dates mentioned in the text include:
- March 1942: Combined Operation at St Nazaire.
- August 1942: Combined Operation at Dieppe.
- 1942/43: Combined Operations in North Africa and Sicily.
- 1944: Invasion of Europe.","During World War II, the Commando offensive operations in the UK involved Combined Operations with other Units from the Armed Forces of the United Kingdom, the Commonwealth, and allied nations. Examples include St Nazaire, Dieppe, North Africa and Sicily campaigns, the invasion of Europe, and operations in the Far East. The Royal Navy ships, such as HMS Glengyle, played a crucial role in transporting and supporting the Commandos during these operations.",,UK,"COMMONWEALTH, Europe, UK",,"March 4, 2019 8:56 PM","October 28, 2022 1:14 PM",,,,"British Commandos, Combined Operations, Special Operations Executive",,"Europe, North Africa, UK",Special Boat Service (https://www.notion.so/Special-Boat-Service-913d822256b44bf0810bc0494c617019?pvs=21),Commando Veterans Archive,"Allied Expeditionary Forces, Joint Task Force Command, Marine Corps Amphibious Reconnaissance Company","Commando, UK, WWII",http://www.commandoveterans.org/CombinedOperations,,
"Combined Operations Headquarters ",,"The Combined Operations Headquarters was established in June 1940 in the UK to command raiding operations against enemy territory following the evacuation of British forces from France. It was led by various directors, starting with Admiral Sir Roger Keyes, and played a crucial role in planning significant military operations, including the raids on Dieppe and the invasions of North Africa, Sicily, and Normandy. The headquarters expanded rapidly, maintaining close ties with the Admiralty and overseeing commandos and other raiding forces.",,UK,"ENGLAND, GB, UK",,"March 4, 2019 8:56 PM","August 7, 2024 8:31 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/CombinedOperationsHQ,"June 5, 1940",
Independent Companies and Special Service Battalions,,"The Independent Companies were formed in April 1940 and consisted of 11 units. They were later reorganized into Special Service (SS) Battalions in October 1940. The Independent Companies played a role in Operation Avonmouth and were eventually reorganized back into smaller and more workable Commando Units. No 2 Commando was redesignated as 11 Special Air Service Bn., and a new No 2 Commando was raised from 1st SS Bn. 'B' Coy.",,UK,"BRITAIN, GB, UK",,"March 4, 2019 8:57 PM","September 19, 2020 2:26 PM",,,,,,,,Commando Veterans Archive,Special Service (SS) Battalions,"Commando, UK, WWII",http://www.commandoveterans.org/IndependentCompanies,"April 5, 1940","October 1, 1940"
Small Scale Raiding Force🐸,"- Formation of the Small Scale Raiding Force (SSRF) at Fareham.
- Operation Dryad: 2-3rd September 1942, raid on Alderney.
- Operation Aquatint: 12-13th September 1942, raid on Saint Honorine.
- Operation Basalt: 3rd October 1942, Sark Channel Islands.
- Operation Farenheit: 11th November 1942, raid on a signaling station on the French Coast.
- 1942 Foretop France: Plan to raid U-boat bases, later abandoned.
- Forfar Raids: Started in January 1943, commanded by Major Ted Fynn MC from 12 Commando.
- Forfar Item: 2nd September 1943, first raid into France by Parachute with later evacuation by MTB.","The Small Scale Raiding Force (SSRF) was part of Combined Operations, trained in Commando-style combat and seamanship for small raids along the occupied French coastline during WWII. Formed at Fareham, it included members from various units and foreign nationals, often supported by Commandos. Notable operations included raids on Alderney, Saint Honorine, and signaling stations on the French coast, with significant missions taking place from 1942 onwards.",,UK,"ENGLAND, GB, UK",,"March 4, 2019 8:58 PM","April 10, 2024 3:50 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/SSRF,,
The 1st Ranger Battalion,"- May 1942: Formation of Company A of the 1st Ranger Battalion.
- 1942: Participation in the raid on Dieppe, marking some of the first US troops to fight in Europe.
- North African campaign: Operation Torch, where the Rangers served alongside British Army Commandos.","The 1st Ranger Battalion, formed in May 1942 from volunteers of the 34th Infantry Division and the 1st Armoured, trained in Scotland under British Commandos. They were among the first US troops to fight in Europe during the Dieppe raid and participated in the North African campaign Operation Torch, collaborating with British Commandos. The battalion expanded to 467 men and inspired the formation of additional Ranger Battalions for various operations throughout WWII.",,US,"US, USA, United States",,"March 4, 2019 8:59 PM","April 10, 2024 3:49 AM",,,,,,,,Commando Veterans Archive,,"Commando, US, WWII",http://www.commandoveterans.org/USA,,
Greek Sacred Squadron🐸,,"The Greek Sacred Squadron, also known as the Sacred Band, was formed in 1942 and transformed into a Special Forces unit under the command of Col. Christodoulos Tsigantes. The squadron fought alongside Free French forces, the SAS, and the SBS in various operations during WWII. It disbanded in August 1945 after successful combat operations against German garrisons on multiple islands.",,Greece,"Greece, Mediterranean, Southern Europe, UK, WWII",,"March 4, 2019 8:59 PM","April 10, 2024 3:55 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/Greece,,
UDT WWII,"- December 7, 1941: Japan bombed Pearl Harbor, marking the beginning of the U.S. involvement in World War II.
- Early 1942: The U.S. Navy began developing Amphibious Forces as a crucial component of attack strategies.
- November 1942: The first major amphibious operation involved landing 400,000 men on the coast of North Africa.
- November 20, 1943: The U.S. initiated operations in the Gilbert Islands, leading to the Invasion of Tarawa.
- Early 1943: Establishment of the Naval Combat Demolition Units (NCDU) and the Underwater Demolition Teams (UDT) following the lessons learned from Tarawa.
- 1943-1945: Rigorous training of demolition trainees at three major bases for the NCDU and UDT.","The U.S. Navy developed Amphibious Forces during WWII to conduct sea-to-land operations against Axis powers. Key developments included the establishment of Naval Combat Demolition Units and Underwater Demolition Teams, which were essential for clearing beaches prior to landings. Notable battles such as Coral Sea and Midway showcased the growing strength of the U.S. Pacific Fleet, while the Tarawa invasion highlighted the need for pre-assault reconnaissance and obstacle removal. Lieutenant Commander Draper Kauffman played a pivotal role in forming these specialized units.",,US,"America, US, USA",,"March 8, 2019 1:02 AM","August 11, 2024 7:35 AM",,,,,,,,Naval Special Warfare Archive,,"Commando, UDT, US, naval commandos",http://www.viewoftherockies.com/UDTWWII.html,,
UDT 1 and 2🐸,"- July 1943: A program for training personnel in naval combat demolition was established at the Amphibious Training Base, Fort Pierce, Florida.
- November 1943: The Fifth Amphibious Force took steps toward the organization and training of naval combat demolition personnel. Approximately thirty officers and one hundred fifty men began training in underwater demolition work at Waimanalo, Oahu.
- December 1943: Underwater Demolition Team #2 was ordered to San Diego for the attack on Roi-Namur as part of the Flintlock Operation.
- December 1943: Underwater Demolition Team #1 remained in training at Waimanalo and was assigned to attack Kwajalein Island in the Flintlock Operation.
- March 14, 1944: Basic letters covering the organization of the training base and of the Teams were issued by the Commander, Fifth Amphibious Force, Pacific Fleet.
- Post-Flintlock Operation: Recommendations were made for modifications in Team organization, including a reduction in officer personnel and an increase in enlisted personnel.","The Underwater Demolition Teams (UDT) were established during WWII to address the need for trained personnel to remove underwater obstacles hindering troop landings. Following the Tarawa campaign, which highlighted the necessity of reconnaissance and obstacle removal, training programs were initiated. UDTs #1 and #2 were formed in late 1943, comprising Army, Navy, and Marine personnel. They conducted pre-assault reconnaissance and demolition operations during the Flintlock Operation, gaining valuable combat experience that informed future team organization and operational strategies.",,US,,,"March 8, 2019 1:05 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT1and2.html,,
UDT3🐸,"- March 1944: UDT Team Three was formed at Maui, T.H.
- April 17, 1944: UDT-3 embarked aboard the S.S. Typhoon for the Solomon Islands.
- May 2, 1944: UDT-3 arrived off Guadalcanal.
- June 4, 1944: UDT-3 transferred to the U.S.S. Dickerson.
- June 16, 1944: UDT-3 was prepared for operations at Guam.
- July 14, 1944: Commenced reconnaissance and demolition operations off Guam.
- July 21, 1944: UDT personnel guided the 8th Wave during landings.
- July 28, 1944: UDT-3 was released by CTF 53 after completing operations at Guam.
- September 15, 1944: UDT-3 embarked aboard the U.S.S. Talbot for operations in the Philippines.
- October 12, 1944: UDT-3 sortied from Manus to Leyte.
- October 18, 1944: UDT-3 arrived off the southern beaches of Leyte and began reconnaissance.
- November 1, 1944: UDT-3 was transferred to the U.S.S. President Hayes at Manus.
- November 23, 1944: UDT-3 returned to Maui and underwent training.
- April 1, 1945: UDT-3 was ordered to the States for leave.
- August 14, 1945: UDT-3 embarked aboard the U.S.S. Ira Jeffery for operations in Japan.
- September 23, 1945: UDT-3 commenced operations for the landing beaches in Wakayama, Japan.
- October 28, 1945: UDT-3 was released by ComPhibGrp Eight and ordered to proceed to Coronado, ATB, California.","UDT Team Three, formed in March 1944, played a crucial role in WWII, participating in significant campaigns such as the Marianas and Leyte. The team conducted reconnaissance and demolition operations to clear obstacles for amphibious assaults, earning commendations for their contributions. After the war, they were involved in post-assault operations in Japan, demonstrating their expertise in underwater demolition and reconnaissance.",,US,"Hawaii, Japan, US",,"March 8, 2019 1:06 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"Commando, UDT, US, naval commandos",http://www.viewoftherockies.com/UDT3.html,,
UDT4,"- Formation of Underwater Demolition Team FOUR: March 1944 at the Naval Combat Demolition Training and Experimental Base in Maui, T.H.
- First mission (reconnaissance of Yellow Beach Two): July 17, 1944.
- Demolition operations at Guam: July 18-20, 1944.
- Arrival at Leyte Gulf for reconnaissance: October 18, 1944.
- Okinawa operation reconnaissance: March 28, 1945.
- Demolition work on Purple and Orange Beaches: April 1, 1945.
- Return to Guam after Kamikaze attacks: April 25, 1945.
- Final return to San Francisco: July 4, 1945.
- Dissolution of Team FOUR: October 20, 1945.","Underwater Demolition Team Four was formed in March 1944 and participated in significant operations during WWII, including reconnaissance and demolition work at Guam, Leyte, and Okinawa. The team conducted pre-assault reconnaissance, cleared obstacles, and guided landing waves, facing heavy enemy fire and sustaining casualties. After extensive training and operations, the team returned to the U.S. in July 1945 and was eventually dissolved in October 1945.",,US,"America, US, USA",,"March 8, 2019 1:06 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"Commando, UDT, US, naval commandos",http://www.viewoftherockies.com/UDT4.html,,
UDT5,"- Formation of UDT Team Five: January 1944
- Deployment to Maui, T.H.: February 28, 1944
- Commissioning of Teams Four and Five: April 1944
- Operation against Saipan: June 14, 1944
- Loading gear aboard the USS Gilmer: May 29, 1944
- Arrival at Roi-Namar: June 9, 1944
- Operation plan for Saipan beaches: June 14, 1944
- Team Five's command turnover: August 31, 1944
- Training for Yap Island operation: September 14, 1944
- Arrival at Leyte Gulf: October 17, 1944
- Unopposed landing on January 9, 1945: January 9, 1945
- Team Five's reconnaissance of Kure-Hiro naval station: October 2-4, 1945
- Decommissioning of Team Five: October 23, 1945","Underwater Demolition Team Five, primarily composed of Sea Bees, underwent rigorous training before participating in key operations during WWII, including reconnaissance and demolition tasks at Saipan and Tinian. The team faced challenges such as enemy fire and logistical issues but successfully gathered vital information for landing operations. After the war, they conducted reconnaissance in Japan before being decommissioned in October 1945.",,US,"US, USA, United States",,"March 8, 2019 1:07 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT5.html,,
UDT6,"- April 9, 1944: Team Six shipped to the Demolition Base on Maui, T.H.
- May 30, 1944: Teams Six and Seven commissioned.
- July 27, 1944: Team Six participated in the Guam invasion.
- September 7, 1944: Team Six restructured and prepared for the attack on Palau Island.
- September 12, 1944: Team Six conducted a reconnaissance of the narrow strait between Pelelieu and Negesebus islands.
- October 19, 1944: Team Six arrived in Leyte Gulf for operations.
- November 2, 1945: Team Six decommissioned at the Naval Amphibious Base, Coronado.
- July 1, 1944: Commanding Officer's letter commending Team Six's performance during the Forager Operation.","Underwater Demolition Team Six, formed during WWII, underwent rigorous training and participated in significant operations including the invasions of Saipan, Guam, and Peleliu, where they displayed extraordinary courage and skill under enemy fire. The team received commendations for their performance in demolition and reconnaissance tasks, successfully clearing obstacles for landing forces without sustaining casualties. After the war, they were decommissioned in November 1945, with a letter from their commanding officer praising their dedication and effectiveness.",,US,"America, US, USA",,"March 8, 2019 1:07 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"Commando, UDT, US, naval commandos",http://www.viewoftherockies.com/UDT6.html,,
UDT7,"Key Dates for UDT7:

- January 1944 - February 1944: Majority of enlisted men trained together at Camp Peary, Virginia.
- March 1944 - April 9, 1944: Trained at Fort Pierce, Florida as individual Naval Combat Demolition Units as members of Class 5 and 5A.
- April 21, 1944 - May 30, 1944: Formed UDT 7 and had further training.
- June 12, 1944: Reconnaissance made of Yellow and Blue beaches on Saipan Island.
- June 15, 1944: Post-assault work done from D-Day to D plus 5 consisting of buoying channels and blasting work done at request of beachmaster.
- July 23, 1944: Reconnaissance of Red, Green, and Blue beaches, Tinian Island.
- July 24, 1944: Post-assault work commenced on D-Day and lasted till D plus 2. The work consisted of searching for anti-boat mines on fringing reef off White 1 and 2 beaches and aiding in placing pontoons on these beaches.
- August 1944: Turner City, Florida Islands. 11 days ashore for reconditioning.
- September 12, 1944: White beaches, Pelelieu, Palau, were reconnoitered.
- September 15, 1944: Post-assault work done under orders of beachmaster from D-Day to D plus 6. Work consisting of placing anchorage buoys and clearing mines and obstacles from Orange, Scarlet, and Purple beaches.
- October 1, 1944: Fire of explosive loaded on deck of USS STRINGHAM (APD 6) in Manus anchorage.
- October 16, 1944 - February 14, 1945: Maui participated in training of new teams and received a month of additional training and conditioning.
- February 23, 1945 - March 15, 1945: San Pedro anchorage Leyte, staging area and one practice reconnaissance.
- March 1945: Reconnaissance made of Yellow beaches on Okinawa Shima.
- March 1945: Demolition work clearing of wooden posts on Yellow 2 beach.
- April 1, 1945: Post assault work done on D-Day to D plus 5 with Yellow 3 beach reconnoitered and beaches White Baker 1, 2, & 3; Purple Baker 1, 2, & 3; Brown Baker 1, 2, & 3. These last named group of beaches were behind enemy lines and were reconnoitered to ascertain their usability for unloading supplies.
- April 7, 1945: Reconnaissance made of Red Baker 3 beach, Tsugon Shima.
- April 9, 1945: Casualties suffered aboard USS HOPPING (APD 51) when hit by shore battery fire from Tsugon Shima.
- May 1, 1945 - June 9, 1945: Based on Ulithi Atoll, Caroline Islands for rehabilitation.
- July 1945: Returned to states for thirty days leave.
- August 15, 1945: Boarded ship from Oceanside, California for occupation of Japan. At anchor Tokyo Bay.
- September 14, 1945: Reconnaissance of Urarigi Beaches near Sendai, Honshu Island.
- October 13, 1945: Returned to A.T.B. Coronado, California.
- October 20, 1945: UDT #7 decommissioned.","Underwater Demolition Team 7 (UDT 7) underwent rigorous training during WWII, focusing on demolition techniques, physical conditioning, and reconnaissance operations. Key missions included reconnaissance and demolition work on beaches in Saipan, Tinian, Peleliu, and Okinawa, where they faced challenges such as enemy fire and difficult terrain. The team learned valuable lessons about coordination, fire support, and operational tactics, which were later implemented in future operations. UDT 7 was decommissioned on October 27, 1945, after completing its service with notable courage and effectiveness.",,US,,,"March 8, 2019 1:07 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"Commando, UDT, US, naval commandos",http://www.viewoftherockies.com/UDT7.html,,
UDT8,"Key Dates for UDT Team Eight:

- Formation: 16 May 1944
- Departure from Fort Pierce, Florida: 2 June 1944
- Return to Coronado, California: 12 November 1945
- Training completion at Fort Pierce: 8 June 1944
- Arrival at Maui, T.H.: 18 June 1944
- First combat assignment at Anguar Island, Palau: 12 September 1944
- Combat demolition job at Red Beach, Anguar: 19 September 1944
- First reconnaissance at Leyte: 7 January 1945
- Arrival in Guam for rest and rehabilitation: 11 November 1944
- Departure for Iwo Jima: 1 March 1945
- Return to the States: 11 November 1945","Underwater Demolition Team Eight was active during WWII from June 1944 to November 1945, participating in several amphibious operations across the Pacific, including the Palau and Leyte landings. The team underwent rigorous training in Florida, operated from various ships, and faced challenges such as tropical storms and enemy fire. Despite suffering casualties, they successfully conducted reconnaissance and demolition tasks, contributing significantly to the war effort. After the war, the team transitioned to occupational duties in Korea and China before returning to the U.S., where they disbanded with a sense of pride in their service.",,US,"America, US, USA",,"March 8, 2019 1:07 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT8.html,,
UDT9,"- Formation Date: May 20, 1944
- Departure from Fort Pierce: June 3, 1944
- Arrival in Honolulu: June 18, 1944
- Coral Blasting Training Completion: September 9, 1944
- Initial Assignment for Yap Operation: September 13, 1944
- Arrival at Manus for Leyte Operation Preparation: October 2, 1944
- Leyte Landings: October 19, 1944
- Transfer to U.S.S. BELKNAP: November 1, 1944
- Lingayen Operation Reconnaissance: January 6, 1945
- U.S.S. BELKNAP Hit by Enemy Plane: January 12, 1945
- Transfer to U.S.S. SANDS: January 16, 1945
- Return to Maui for Training: After January 16, 1945
- Re-designation as Post-war Team BAKER: After November 11, 1945","Underwater Demolition Team Nine was formed in 1944, consisting of personnel trained in naval combat demolition. After extensive training in Florida and Hawaii, the team participated in various operations in the Pacific, including reconnaissance and demolition tasks during the Leyte landings. They faced challenges such as typhoons and enemy fire, resulting in casualties. The team later transitioned to post-war duties and was re-designated as Team Baker, with personnel discharged or reassigned.",,US,"America, US, USA",,"March 8, 2019 1:08 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"Commando, UDT, US, naval commandos",http://www.viewoftherockies.com/UDT9.html,,
UDT10,"Key dates from the text include:
- March 1944: Class 6A was in training at Fort Pierce, Florida.
- June 2, 1944: Team TEN left for San Francisco.
- June 19, 1944: Team TEN arrived in Maui, T.H.
- September 14, 1944: Team TEN participated in a reconnaissance of Anguar.
- September 21, 1944: Team TEN cleared mines and obstacles on five beaches.
- September 25, 1944: Team TEN left Ulithi for the Admiralties for rest.
- October 18, 1944: Team TEN reached Leyte Gulf.
- January 6, 1945: Team TEN arrived at Lingayen Gulf.
- January 25, 1945: Team TEN departed for Subic Bay.
- February 25, 1946: Team TEN was decommissioned.","Underwater Demolition Team Ten was formed in March 1944, participating in key operations during WWII, including reconnaissance and demolition tasks on various beaches in the Pacific. The team faced challenges such as strong currents and enemy fire but successfully completed missions, including mine clearance and obstacle removal. After the war, the team was decommissioned in February 1946, with personnel changes and transfers occurring throughout its service.",,US,"America, US, USA",,"March 8, 2019 1:08 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"Commando, UDT, US, naval commandos",http://www.viewoftherockies.com/UDT10.html,,
UDT11,"- Formation of Underwater Demolition Team No. 11: May 1, 1944
- Completion of formal training: July 15, 1944
- Team left Fort Pierce for Camp Schumaker: October 2, 1944
- Arrival at Treasure Island: October 11, 1944
- Advanced training began at NCDT&E Base, Maui: October 24, 1944
- Final demolition rehearsal for the Iwo operation: January 1, 1945
- Team assigned to Okinawa operation: March 21, 1945
- Successful reconnaissance of Okinawa beaches: March 29, 1945
- Cleared obstacles on Okinawa beaches: March 30, 1945
- Guided first waves of tanks into Brown Beaches: April 1, 1945
- Released from Okinawa: April 15, 1945
- Arrived in Manila: August 5, 1945
- Team disembarked for decommissioning: October 19, 1945","Underwater Demolition Team No. 11 was formed during WWII, undergoing rigorous training in Fort Pierce, Florida, including physical conditioning, explosives handling, and reconnaissance. The team participated in significant operations in the Pacific, including Iwo Jima and Okinawa, where they cleared beach obstacles under fire. They faced various challenges, including harsh living conditions and enemy attacks, and ultimately contributed to the war efforts until their decommissioning after Japan's surrender.",,US,"America, US, USA",,"March 8, 2019 1:08 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT11.html,,
UDT12,"- September 26, 1944: UDT Team #12 was assigned a Commanding Officer, Lt. Commander E. S. Hochuli, USNR.
- September 30, 1944: The team left Fort Pierce, Florida, for San Bruno, California.
- October 14, 1944: The team embarked on the USS GENERAL PATRICK from San Francisco.
- October 22, 1944: The team reported for advance demolition training in Maui, T.H.
- January 7, 1945: The team boarded the USS BATES (APD 47) and departed for Pearl Harbor.
- February 10, 1945: UDT Teams #12, #13, #14, and #15 left Ulithi for Iwo Jima.
- February 17, 1945: Team #12 conducted reconnaissance missions on the eastern and western beaches of Iwo Jima.
- March 25, 1945: The team arrived off the Kerama Retto for reconnaissance missions during the Okinawa Operation.
- April 10, 1945: The USS BATES departed the area returning to Ulithi via Saipan.
- April 19, 1945: The team disembarked on Asor Island, Ulithi.
- May 1, 1945: Lt. Commander Hochuli was assigned temporary duty with the Seventh Phib Force.
- June 6, 1945: The team was ordered to return to the Demolition Base, Maui, T.H.
- June 23, 1945: The ship reached Pearl Harbor.
- July 1, 1945: Lt. Commander Hochuli was detached from the Team.
- July 16, 1945: The team embarked on the USS AMESBURY (APD 46).
- July 23, 1945: The team reported for cold water swimming and training in preparation for the invasion of Japan.","Underwater Demolition Team #12 was formed in WWII, participating in key operations including reconnaissance missions at Iwo Jima and Okinawa. The team underwent extensive training and faced significant challenges, including casualties during missions. After the war, the team was involved in rehabilitation and preparation for potential invasion of Japan, which was ultimately unnecessary due to Japan's surrender.",,US,"American, US, USA",,"March 8, 2019 1:09 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT12.html,,
UDT13,"Key dates from the text include:

- Early July 1944: Formation of Underwater Demolition Team THIRTEEN at Fort Pierce, Florida.
- October 3, 1944: Team THIRTEEN proceeded to Camp Shoemaker, California.
- October 19, 1944: Arrival at Pearl Harbor, Oahu, T.H.
- February 14, 1945: Arrival at Iwo Jima.
- March 28, 1945: Departure from Iwo Jima to Guam.
- March 20, 1945: Departure from Ulithi to Okinawa Gunto.
- April 3, 1945: Transferred from the U.S.S. BARR to the U.S.S. WAYNE.
- August 2, 1945: Ordered to Oceanside, California.
- August 16, 1945: Embarked on the U.S.S. BURDO for Pearl Harbor.
- September 1, 1945: Departure from Pearl Harbor to Saipan.
- September 21, 1945: Arrival at Sasebo, Kyushu, Japan.
- October 19, 1945: Arrival at San Diego, California, where decommissioning began.
- November 3, 1945: Completion of decommissioning.","Underwater Demolition Team Thirteen was formed in July 1944, trained in demolition and reconnaissance, and participated in key operations during WWII, including Iwo Jima and Okinawa. The team successfully completed missions with no casualties, aided in establishing navigational lights, and conducted reconnaissance of landing sites. After the war, they were stationed at the Amphibious Training Base in Coronado, California, until decommissioning in November 1945.",,US,"America, US, USA",,"March 8, 2019 1:09 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT13.html,,
UDT14,"- September 1944: Formation of UDT Team Fourteen at the Naval Combat Demolition Training and Experimental Base, Maui.
- November 30, 1944: Team ordered to Pearl Harbor and embarked on the U.S.S. BULL (APD-78).
- January 7, 1945: Conducted reconnaissance at White Beach near San Fabian during the Lingayen Gulf operation.
- February 16, 1945: Arrived at Iwo Jima and conducted beach reconnaissance on February 17.
- March 20, 1945: Departed Ulithi for Okinawa landings, conducting a feint reconnaissance on March 29.
- April 27, 1945: Returned to Pearl Harbor after operations in Okinawa.
- October 20, 1945: Decommissioned at the Amphibious Training Base, Oceanside, California.","Underwater Demolition Team Fourteen was the first fleet team, formed in September 1944 with veterans from various Allied landings. They underwent rigorous training in Maui and participated in significant operations during WWII, including reconnaissance and demolition tasks at Lingayen Gulf, Iwo Jima, and Okinawa. The team was later decommissioned after the war, contributing to the closure of the training base in Maui.",,US,"PacificTheater, US, USNavy",,"March 8, 2019 1:10 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT14.html,,
UDT15,"- August 31, 1944: Orders received to send 17 crews to the forward Pacific areas.
- December 11, 1944: Team 15 cheered as they left Diamond Head, heading towards their operational area.
- January 1, 1945: Team 15 sailed in company with the bombardment group of the Seventh Fleet towards Lingayen Gulf, Philippines.
- January 9, 1945: Scheduled for S Day; initial reconnaissance on S-2 day.
- February 16, 1945: Initial reconnaissance on Iwo Jima beaches.
- February 18, 1945: Tragically, the Blessman was hit, resulting in the loss of 18 team members.
- March 18, 1945: Team 15 left Saipan aboard the USS Cottle for Pearl Harbor.
- May 24, 1945: Team 15 left for home, reporting to Fort Pierce, Florida on July 9.
- October 29, 1945: Team 15 was officially decommissioned by Captain R.H. Rodgers.","Underwater Demolition Team 15 was formed during WWII, embarking on a journey to the Pacific for training and operations. The team faced challenges, including rigorous training in Maui and dangerous reconnaissance missions during the invasion of Iwo Jima. They experienced significant losses, including casualties from enemy fire and a tragic fire on their ship, the Blessman, which resulted in the deaths of several team members. After the war, the team was decommissioned, with some members transferring to the Regular Navy for post-war demolition duties.",,US,"America, US, USA",,"March 8, 2019 1:10 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT15.html,,
UDT16,"- September 16, 1944: Original drafts of Underwater Demolition Team SIXTEEN reported to the Naval Combat Demolition Training and Experimental Base in Maui, T.H.
- February 1945: Team SIXTEEN received orders commissioning them under the command of Lieutenant E.A. MITCHELL.
- February 13, 1945: Team SIXTEEN embarked at Maui as part of Captain WILLIAM'S APD division to the Marshalls.
- March 23, 1945: Team SIXTEEN embarked on the U.S.S. RAYMON W. HERNDON, bound for Okinawa Gunto.
- March 29, 1945: Planned reconnaissance for the Okinawa invasion was executed.
- April 2, 1945: Team SIXTEEN began post-assault reconnaissance and demolition operations.
- April 22, 1945: Operations were completed, and the team was released from Commander, Northern Attack Force.
- May 1, 1945: Team SIXTEEN arrived at Ulithi Atoll for recuperation.
- June 6, 1945: Received orders to proceed to the Demolition Base at Maui.
- June 20, 1945: Team SIXTEEN arrived at Pearl Harbor and was transferred to Maui.
- July 1, 1945: Ordered to embark on the U.S.S. ATTALA (APA) for San Francisco.
- July 7, 1945: Team arrived in San Francisco and was granted thirty days leave.
- August 11, 1945: Team reported to Oceanside, California for cold water training, which was canceled due to Japan's capitulation.
- October 20, 1945: Team SIXTEEN was decommissioned.","Underwater Demolition Team Sixteen was formed during WWII, trained in Maui, and played a crucial role in the Okinawa invasion by clearing beach obstacles and conducting reconnaissance. The team was recognized for its efforts, with members receiving silver and bronze stars, and was decommissioned after the war ended.",,US,"Pacific_Theater, US, WWII_US",,"March 8, 2019 1:10 AM","April 10, 2024 3:54 AM",,,,,,,,Naval Special Warfare Archive,,"UDT, US, naval commandos",http://www.viewoftherockies.com/UDT16.html,,
